ID;Date;Respondent Organisation;Respondent position;Gender;District; compliance to quarantine restrictions;stigma;food and water in quarantine;trust in authorities;Trusting the Information;burial teams;safety and acceptance;access to health care;gender equality;surveillance teams;help lines;Ebola Response Making Progress;main reason people do not respect quarantine restrictions;main reason for non-compliance;main reason for compliance;complacency colleagues;complacency people;valued and appreciated;removal of checkpoints making fight against Ebola more difficult;removal of checkpoints makes...;welcomed in communities;people confident seeking medical help for non-Ebola illnesses;gender based violence (1-5);gender based violence (Y/N);Follow up to GBV;emotional stress;What is the highest stress factor?;corruption;communication activities ;feedback influencing oganization's actions;what else can be done to fight Ebola? (choose 3 options);;;;
GT_EbolaWorkersR1_84;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;4;2;2;;3;1;2;3;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_85;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;3;4;3;3;;2;2;3;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_86;21.11.2014;Plan Int'I;Staff;Male;Moyamba;3;4;3;3;;2;2;4;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_87;21.11.2014;Plan Int'I;Staff;Male;Bo;3;5;2;3;;2;2;3;4;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_1;21.11.2014;Save the Children Int'l;Driver;Male;Kailahun;2;5;2;1;;2;2;2;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_2;21.11.2014;Save the Children Int'l;prog officer/H;Male;Kailahun;2;5;1;2;;2;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_3;21.11.2014;Save the Children Int'l;prog officer/H;Male;Pujehun;2;5;1;2;;1;2;2;4;1;1;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_4;21.11.2014;Save the Children Int'l;prog officer/E;Male;Pujehun;2;5;1;1;;2;2;2;4;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_5;21.11.2014;Save the Children Int'l;prog officer/CP;Male;Kailahun;2;5;1;1;;2;2;2;4;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_6;21.11.2014;Save the Children Int'l;prog officer;Male;Pujehun;2;5;2;1;;2;2;2;4;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_7;21.11.2014;Save the Children Int'l;Driver;Male;Pujehun;2;5;1;2;;1;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_8;21.11.2014;Save the Children Int'l;Prog Officer/CP;Male;Pujehun;2;5;2;2;;1;2;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_10;21.11.2014;Save the Children Int'l;Prog officer/Ed;Female;Kailahun;2;5;1;1;;2;1;2;1;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_8;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;2;;1;2;1;2;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_11;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;2;;1;2;1;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_12;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;5;2;;1;1;1;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_13;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;5;2;;1;2;2;2;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_14;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;2;;1;1;2;1;2;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_15;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;2;;1;2;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_16;04.12.2014;Child Fund;Social worker;Male;Port Loko;2;4;2;;2;1;2;1;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_17;04.12.2014;Child Fund;Manager;Female;Western Area Urban;2;4;2;;2;2;2;2;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_18;04.12.2014;Child Fund;Proj. Officer;Male;Kono;2;5;2;;1;2;2;2;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_19;04.12.2014;Child Fund;Social worker;Male;Bombali;2;4;2;;1;2;2;2;1;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_20;04.12.2014;Child Fund;Finance Officer;Male;Kailahun;2;4;1;;1;2;2;2;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
