indid,indicator_name,dsid,region,period,value,source
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-18,277523137.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-19,288402147.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-20,300374419.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-21,316407741.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-22,322971248.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-24,345728095.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-25,347790042.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-26,352485286.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-27,353260260.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-28,355265647.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-29,355529801.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
