Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;;East;19/06/2015;524 1 03 13;524 1 03 13 5 027;Mennonite Central Committee;;Group of Helping Hands Nepal (SAHAS);Okhaldhunga;Rawadol;Unknown;NFI;Household kits (excluding tarpaulins);Targeted group;16;16;;;;Completed;05/05/2015;5-Aug-2015;
Priority;;East;19/06/2015;524 1 03 13;524 1 03 13 5 027;Mennonite Central Committee;;Group of Helping Hands Nepal (SAHAS);Okhaldhunga;Rawadol;Unknown;Shelter;Tarpaulin;Targeted group;16;16;;;;Completed;05/05/2015;5-Aug-2015;
Priority;;East;19/06/2015;524 1 03 13;524 1 03 13 5 037;Mennonite Central Committee;;Group of Helping Hands Nepal (SAHAS);Okhaldhunga;Shishneri;Unknown;NFI;Household kits (excluding tarpaulins);;100;100;;;;Completed;22/05/2015;26/05/2015;
Priority;;East;19/06/2015;524 1 03 13;524 1 03 13 5 037;Mennonite Central Committee;;Group of Helping Hands Nepal (SAHAS);Okhaldhunga;Shishneri;Unknown;Shelter;Tarpaulin;;100;100;;;;Completed;22/05/2015;26/05/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Buckets with lid;All / Blanket;801;801;;;307;Completed;10/07/2015;11/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Clothes (items);All / Blanket;7209;801;;;307;Completed;10/07/2015;11/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Kitchen Sets;All / Blanket;1602;801;2250;;307;Completed;10/07/2015;11/07/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Blankets;All / Blanket;3204;801;;;307;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Mosquito Nets;All / Blanket;1602;801;;;307;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;Shelter;Tarpaulin;All / Blanket;801;801;;;307;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;Cash;Other Cash;All / Blanket;5992500;799;7500;;307;Completed;30/08/2015;31/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 051;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Balthali;All;NFI;Lighting (Lamps, Candles);All / Blanket;801;801;2500;;307;Completed;11/07/2015;12/07/2015;Solar lamps donated material aid
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Buckets with lid;All / Blanket;876;876;;;401;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Clothes (items);All / Blanket;7884;876;;;401;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Kitchen Sets;All / Blanket;1752;876;2250;;401;Completed;11/07/2015;12/07/2015;Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Blankets;All / Blanket;3504;876;;;401;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Mosquito Nets;All / Blanket;1752;876;;;401;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;Shelter;Tarpaulin;All / Blanket;876;876;;;401;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;Cash;Other Cash;All / Blanket;6570000;876;7500;;401;Completed;11/07/2015;12/07/2015;
Priority;;Central;11/09/2015;524 2 05 28;524 2 05 28 5 027;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Bhadratar;All;NFI;Lighting (Lamps, Candles);All / Blanket;876;876;2500;;401;Completed;11/07/2015;12/07/2015;Solar lamps donated material aid
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Blankets;All / Blanket;4988;1247;;;;Completed;24/08/2015;26/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Lighting (Lamps, Candles);All / Blanket;1247;1247;2500;;;Completed;24/08/2015;26/08/2015;Solar lamps donated material aid
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;Cash;Other Cash;All / Blanket;9352500;1247;7500;;;Completed;29/08/2015;31/08/2015;
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Buckets with lid;All / Blanket;1247;1247;;;;Completed;25/08/2015;26/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Clothes (items);All / Blanket;11223;1247;;;;Completed;24/08/2015;26/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Mosquito Nets;All / Blanket;2494;1247;2250;;;Completed;24/08/2015;26/08/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;NFI;Kitchen Sets;All / Blanket;2494;1247;;;;Completed;24/08/2015;26/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 024;Mercy corps;Internal;Nepal Red Cross;Dolakha;Bhedpu;All;Shelter;Tarpaulin;All / Blanket;1247;1247;;;;Completed;24/08/2015;26/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;Cash;Other Cash;All / Blanket;6142500;819;7500;;489;Completed;15/08/2015;15/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Buckets with lid;All / Blanket;786;820;;;489;Completed;15/07/2015;17/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Clothes (items);All / Blanket;7380;820;;;489;Completed;15/07/2015;17/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Kitchen Sets;All / Blanket;1640;820;2250;;489;Completed;15/07/2015;17/07/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Mosquito Nets;All / Blanket;1640;820;;;489;Completed;15/07/2015;17/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;Shelter;Tarpaulin;All / Blanket;786;820;;;489;Completed;15/07/2015;17/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Blankets;All / Blanket;3280;820;;;489;Completed;15/07/2015;17/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 032;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Bhugdeu Mahankalchaur;All;NFI;Lighting (Lamps, Candles);All / Blanket;786;820;2500;;489;Completed;15/07/2015;17/07/2015;Solar lamps donated material aid
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;Cash;Other Cash;All / Blanket;7425000;990;7500;;417;Completed;27/08/2015;31/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Buckets with lid;All / Blanket;999;999;;;417;Completed;30/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Clothes (items);All / Blanket;8991;999;;;417;Completed;30/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Kitchen Sets;All / Blanket;1998;999;2250;;417;Completed;30/07/2015;01/08/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Mosquito Nets;All / Blanket;1998;999;;;417;Completed;30/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Blankets;All / Blanket;3996;999;;;417;Completed;30/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;Shelter;Tarpaulin;All / Blanket;999;999;;;417;Completed;30/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 047;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Chalalganeshsthan;All;NFI;Lighting (Lamps, Candles);All / Blanket;999;999;2500;;417;Completed;30/07/2015;01/08/2015;Solar lamps donated material aid
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Blankets;All / Blanket;5616;1404;;;547;Completed;31/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Buckets with lid;All / Blanket;1404;1404;;;547;Completed;31/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Clothes (items);All / Blanket;12636;1404;;;547;Completed;31/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Kitchen Sets;All / Blanket;2808;1404;2250;;547;Completed;31/07/2015;01/08/2015;Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Mosquito Nets;All / Blanket;2808;1404;;;547;Completed;31/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;Shelter;Tarpaulin;All / Blanket;1404;1404;;;547;Completed;31/07/2015;01/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;Cash;Other Cash;All / Blanket;10530000;1404;7500;;547;Completed;04/08/2015;04/08/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 045;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Charghare;All;NFI;Lighting (Lamps, Candles);All / Blanket;1402;1402;2500;;547;Completed;31/07/2015;01/08/2015;Solar lamps donated material aid
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Lighting (Lamps, Candles);All / Blanket;886;886;2500;;147;Completed;11/07/2015;12/07/2015;Solar lamps donated material aid
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;Cash;Other Cash;All / Blanket;6645000;886;7500;;147;Completed;16/07/2015;28/07/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Blankets;All / Blanket;3544;886;;;147;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Buckets with lid;All / Blanket;886;886;;;147;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Clothes (items);All / Blanket;7974;886;;;147;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Kitchen Sets;All / Blanket;1772;886;2250;;147;Completed;11/07/2015;12/07/2015;Included in Kits - total kit cost 14000 NPR
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;NFI;Mosquito Nets;All / Blanket;1772;886;;;147;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 014;Mercy corps;OFDA;Nepal Red Cross;Dolakha;Chyama;All;Shelter;Tarpaulin;All / Blanket;886;886;;;147;Completed;11/07/2015;12/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Blankets;All / Blanket;1308;327;;;132;Completed;29/05/2015;29/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Buckets with lid;All / Blanket;327;327;;;132;Completed;29/05/2015;29/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Clothes (items);All / Blanket;2943;327;;;132;Completed;29/05/2015;29/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Kitchen Sets;All / Blanket;654;327;2250;;132;Completed;29/05/2015;29/05/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Mosquito Nets;All / Blanket;654;327;;;132;Completed;29/05/2015;29/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;Shelter;Tarpaulin;All / Blanket;327;327;;;132;Completed;29/05/2015;29/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;Cash;Other Cash;All / Blanket;2452500;327;7500;;132;Completed;05/08/2015;05/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 052;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyamrangbesi;All;NFI;Lighting (Lamps, Candles);All / Blanket;327;327;2500;;132;Completed;29/05/2015;20/05/2015;Solar lamps donated material aid
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Blankets;All / Blanket;2632;658;;;546;Completed;30/05/2015;31/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Buckets with lid;All / Blanket;654;658;;;546;Completed;30/05/2015;31/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Clothes (items);All / Blanket;5922;658;;;546;Completed;30/05/2015;31/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Kitchen Sets;All / Blanket;1316;658;2250;;546;Completed;30/05/2015;31/05/2015;Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Mosquito Nets;All / Blanket;1316;658;;;546;Completed;30/05/2015;31/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;Shelter;Tarpaulin;All / Blanket;654;658;;;546;Completed;30/05/2015;31/05/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;Cash;Other Cash;All / Blanket;4875000;650;7500;;546;Completed;07/08/2015;18/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 053;Mercy corps;DFID;Nepal Red Cross;Kabhrepalanchok;Chyasingkharka;All;NFI;Lighting (Lamps, Candles);All / Blanket;654;658;2500;;546;Completed;30/05/2015;31/05/2015;Solar lamps donated material aid
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Lighting (Lamps, Candles);All / Blanket;1286;1286;2500;;;Completed;28/08/2015;31/08/2015;Solar lamps donated material aid
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;Cash;Other Cash;All / Blanket;9645000;1286;7500;;;Completed;28/08/2015;31/08/2015;
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Blankets;All / Blanket;5144;1286;;;;Completed;28/08/2015;31/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Clothes (items);All / Blanket;11574;1286;;;;Completed;28/08/2015;31/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Kitchen Sets;All / Blanket;2572;1286;2250;;;Completed;28/08/2015;31/08/2015;Included in Kits - total kit cost 14000 NPR
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Mosquito Nets;All / Blanket;2572;1286;;;;Completed;28/08/2015;31/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;NFI;Buckets with lid;All / Blanket;1286;1286;;;;Completed;28/08/2015;31/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 025;Mercy corps;Internal;Nepal Red Cross;Dolakha;Dandakharka;All;Shelter;Tarpaulin;All / Blanket;1286;1286;;;;Completed;28/08/2015;31/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Blankets;All / Blanket;4900;1225;;;;Completed;21/08/2015;23/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Buckets with lid;All / Blanket;1225;1225;;;;Completed;21/08/2015;23/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Clothes (items);All / Blanket;11025;1225;;;;Completed;21/08/2015;23/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Kitchen Sets;All / Blanket;2450;1225;2250;;;Completed;21/08/2015;23/08/2015;Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Mosquito Nets;All / Blanket;2450;1225;;;;Completed;21/08/2015;23/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;Shelter;Tarpaulin;All / Blanket;1225;1225;;;;Completed;21/08/2015;23/08/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;Cash;Other Cash;All / Blanket;9187500;1225;7500;;;Completed;25/08/2015;25/08/2015;
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 052;Mercy corps;Internal;Nepal Red Cross;Nuwakot;Deurali;All;NFI;Lighting (Lamps, Candles);All / Blanket;1225;1225;2500;;;Completed;21/08/2015;23/08/2015;Solar lamps donated material aid
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 054;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Dhungkharka Bahrabisae;All;Cash;Other Cash;All / Blanket;9217500;1229;7500;;450;Completed;22/08/2015;22/08/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 054;Mercy corps;Internal;Nepal Red Cross;Kabhrepalanchok;Dhungkharka Bahrabisae;All;NFI;Buckets with lid;All / Blanket;1236;1236;;;450;Completed;25/07/2015;26/07/2015;Itemized cost not available - Included in Kits - total kit cost 14000 NPR
