Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;7;Shelter;CGI Bundle (72ft/bundle);All / Blanket;148;74;15400;;;Completed;06/07/2015;06/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;5;Shelter;CGI Bundle (72ft/bundle);All / Blanket;150;75;15400;;;Completed;08/07/2015;08/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;6;Shelter;CGI Bundle (72ft/bundle);All / Blanket;116;58;15400;;;Completed;08/07/2015;08/07/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 040;ACTED;IOM;;Dolakha;Chilangkha;5,6,7,8,9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;1108;554;15400;;;Completed;09/09/2015;12/09/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 040;ACTED;IOM;;Dolakha;Chilangkha;1,2,3,4, 5,8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;1136;568;15400;;;Completed;18/09/2015;21/09/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 011;ACTED;IOM;;Dolakha;Kabre;Unknown;Shelter;CGI Bundle (72ft/bundle);Targeted group;1110;555;15400;;;Ongoing / In Country Stock;10/08/2015;15/08/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 041;ACTED;IOM;;Dolakha;Kalinchok;Unknown;NFI;Household kits (excluding tarpaulins);Targeted group;350;350;3116;;;Completed;12/06/2016;12/06/2016;
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 041;ACTED;IOM;;Dolakha;Kalinchok;3,4,5,6,7,9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;984;492;15400;;;Completed;28/07/2015;29/07/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 041;ACTED;IOM;;Dolakha;Kalinchok;3,4,5,6,7,9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;36;18;15400;;;Completed;04/08/2015;;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 041;ACTED;IOM;;Dolakha;Kalinchok;3, 4, 5, 7;Shelter;CGI Bundle (72ft/bundle);All / Blanket;7;7;15400;;;Completed;25/08/2015;25/08/2015;2 bundles/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 041;ACTED;IOM;;Dolakha;Kalinchok;1,2,8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;20;10;15400;;;Completed;22/09/2015;22/09/2015;2 bundles/HH
Priority;No road access - possibly no helicopter landing sites;East;26/09/2015;524 2 04 22;524 2 04 22 5 022;ACTED;Internal;;Dolakha;Khare;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;1424;712;15400;;;Planned (funded);05/09/2015;25/09/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 030;ACTED;UNHCR;;Dolakha;Lakuridanda;Unknown;Shelter;Tarpaulin;All / Blanket;780;780;2200;;;Completed;16/05/2015;16/05/2015;
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;3;Shelter;CGI Bundle (72ft/bundle);All / Blanket;448;224;15400;;;Completed;09/07/2015;09/07/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;4;Shelter;CGI Bundle (72ft/bundle);All / Blanket;40;20;15400;;;Completed;09/07/2015;09/07/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;5;Shelter;CGI Bundle (72ft/bundle);All / Blanket;636;318;15400;;;Completed;24/06/2016;24/06/2016;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;398;199;15400;;;Completed;25/06/2015;25/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;440;220;15400;;;Completed;25/06/2015;25/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;1;Shelter;CGI Bundle (72ft/bundle);All / Blanket;276;138;15400;;;Completed;25/06/2015;25/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;2;Shelter;CGI Bundle (72ft/bundle);All / Blanket;316;158;15400;;;Completed;25/06/2015;25/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;5;Shelter;CGI Bundle (72ft/bundle);All / Blanket;44;22;15400;;;Completed;25/06/2015;25/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;7;Shelter;CGI Bundle (72ft/bundle);All / Blanket;382;191;15400;;;Completed;26/06/2015;26/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;6;Shelter;CGI Bundle (72ft/bundle);All / Blanket;318;159;15400;;;Completed;26/06/2015;26/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;6;Shelter;CGI Bundle (72ft/bundle);All / Blanket;156;78;15400;;;Completed;29/06/2015;29/06/2015;2 bundles/HH
Priority;Truck access;East;26/09/2015;524 2 04 22;524 2 04 22 5 035;ACTED;IOM;;Dolakha;Lamidanda;4;Shelter;CGI Bundle (72ft/bundle);All / Blanket;456;228;15400;;;Completed;30/06/2015;30/06/2015;2 bundles/HH
Priority;Tractor access;East;26/09/2015;524 2 04 22;524 2 04 22 5 012;ACTED;Internal;;Dolakha;Suri;;Shelter;CGI Bundle (72ft/bundle);All / Blanket;2150;1075;15400;;;Planned (funded);05/09/2015;25/09/2015;2 bundles/HH
